bench	status	cycles	inst	ipc	branches	taken	jumps	mispredicts	pred_correct
ubmark-vvadd	PASSED	1157	1029	0.889369	139	130	1	19	120
ubmark-cmplx-mult	PASSED	3569	2749	0.770244	271	80	3	14	257
ubmark-bin-search	PASSED	1337	1119	0.836948	262	145	3	63	199
ubmark-masked-filter	PASSED	8007	7026	0.877482	1170	828	3	66	1104
