bench	status	cycles	inst	ipc	branches	taken	jumps	mispredicts	pred_correct
ubmark-vvadd	PASSED	1379	1028	0.745468	139	130	2	-	-
ubmark-cmplx-mult	PASSED	3729	2748	0.736927	271	80	32	-	-
ubmark-bin-search	PASSED	1541	1118	0.725503	262	145	44	-	-
ubmark-masked-filter	PASSED	9755	7025	0.720144	1170	828	228	-	-
