bench	status	cycles	inst	ipc	branches	taken	resolved	pred_correct	mispredicts
ubmark-vvadd	PASSED	457	453	0.991247	10	9	10	8	2
ubmark-cmplx-mult	PASSED	2331	1723	0.739168	27	25	27	24	3
ubmark-bin-search	PASSED	1248	1017	0.814904	246	134	246	194	52
ubmark-masked-filter	PASSED	5755	4931	0.856820	668	329	668	615	53
