bench	status	cycles	inst	ipc	branches	taken	jumps	mispredicts	pred_correct
ubmark-vvadd	PASSED	1203	1029	0.855362	139	130	1	42	97
ubmark-cmplx-mult	PASSED	3609	2749	0.761707	271	80	3	34	237
ubmark-bin-search	PASSED	1383	1119	0.809111	262	145	3	86	176
ubmark-masked-filter	PASSED	8109	7025	0.866321	1170	828	2	118	1052
