bench	status	cycles	inst	ipc	branches	taken	resolved	pred_correct	mispredicts
ubmark-vvadd	PASSED	473	453	0.957717	10	9	10	0	10
ubmark-cmplx-mult	PASSED	2345	1723	0.734755	27	25	27	17	10
ubmark-bin-search	PASSED	1296	1017	0.784722	246	134	246	170	76
ubmark-masked-filter	PASSED	5791	4931	0.851494	668	329	668	597	71
